adult-alpha_1-beta_1-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
adult-alpha_1-beta_1-gamma_1,1572003971,762,-0.2931,0.4383,0.0,1.0,0.7315,0.5
adult-alpha_1-beta_1-gamma_1,1572003979,763,0.1322,0.6713,0.0,1.0,0.5391,0.67
adult-alpha_1-beta_1-gamma_1,1572003986,764,0.0308,0.7649,0.0,1.0,0.734,0.67
adult-alpha_1-beta_1-gamma_1,1572003993,765,-0.2151,0.4332,0.0,1.0,0.6483,0.5
adult-alpha_1-beta_1-gamma_1,1572004000,766,0.0882,0.561,0.0,1.0,0.4728,0.83
adult-alpha_1-beta_1-gamma_1,1572004008,767,0.1253,0.5007,0.0,1.0,0.3755,0.83
adult-alpha_1-beta_1-gamma_1,1572004015,768,-0.0534,0.4701,0.0,1.0,0.5235,0.83
adult-alpha_1-beta_1-gamma_1,1572004022,769,0.8402,1.1599,0.0,1.0,0.3197,0.83
adult-alpha_1-beta_1-gamma_1,1572004029,770,-0.1792,0.3208,0.0,1.0,0.5,1.0
adult-alpha_1-beta_1-gamma_1,1572004037,771,0.524,1.086,0.0,1.0,0.5619,0.67
adult-alpha_1-beta_1-gamma_1,1572004044,772,-0.1909,0.4275,0.0,1.0,0.6184,0.5
adult-alpha_1-beta_1-gamma_1,1572004051,773,0.1281,0.4112,0.0,1.0,0.2831,1.0
adult-alpha_1-beta_1-gamma_1,1572004059,774,0.1376,0.461,0.0,1.0,0.3234,0.83
adult-alpha_1-beta_1-gamma_1,1572004066,775,0.8148,1.0825,0.0,1.0,0.2677,1.0
adult-alpha_1-beta_1-gamma_1,1572004073,776,-0.2721,0.4035,0.0,1.0,0.6756,0.67
adult-alpha_1-beta_1-gamma_1,1572004081,777,1.1625,1.9367,0.0,1.0,0.7743,0.5
adult-alpha_1-beta_1-gamma_1,1572004088,778,0.431,1.1974,0.0,1.0,0.7665,0.83
adult-alpha_1-beta_1-gamma_1,1572004095,779,0.401,1.2998,0.0,1.0,0.8989,0.33
adult-alpha_1-beta_1-gamma_1,1572004103,780,1.9637,2.5024,0.0,1.0,0.5387,0.5
adult-alpha_1-beta_1-gamma_1,1572004110,781,0.0472,0.4789,0.0,1.0,0.4317,0.83
adult-alpha_1-beta_1-gamma_1,1572004117,782,-0.0394,0.6461,0.0,1.0,0.6855,0.67
adult-alpha_1-beta_1-gamma_1,1572004125,783,0.0724,0.5081,0.0,1.0,0.4357,0.83
adult-alpha_1-beta_1-gamma_1,1572004132,784,0.0712,0.5269,0.0,1.0,0.4557,0.67
adult-alpha_1-beta_1-gamma_1,1572004139,785,1.5462,2.023,0.0,1.0,0.4769,0.83
adult-alpha_1-beta_1-gamma_1,1572004147,786,0.3789,0.8413,0.0,1.0,0.4624,0.83
adult-alpha_1-beta_1-gamma_1,1572004154,787,2.3658,3.1824,0.0,1.0,0.8166,0.33
adult-alpha_1-beta_1-gamma_1,1572004161,788,0.3668,0.7458,0.0,1.0,0.379,0.83
adult-alpha_1-beta_1-gamma_1,1572004168,789,0.3944,0.8126,0.0,1.0,0.4182,0.67
adult-alpha_1-beta_1-gamma_1,1572004176,790,-0.0874,0.3842,0.0,1.0,0.4717,0.67
adult-alpha_1-beta_1-gamma_1,1572004183,791,0.0162,0.4522,0.0,1.0,0.436,0.83
adult-alpha_1-beta_1-gamma_1,1572004190,792,0.2009,0.4429,0.0,1.0,0.242,1.0
adult-alpha_1-beta_1-gamma_1,1572004198,793,-0.275,0.3251,0.0,1.0,0.6001,0.83
adult-alpha_1-beta_1-gamma_1,1572004205,794,0.6163,1.031,0.0,1.0,0.4147,0.67
adult-alpha_1-beta_1-gamma_1,1572004212,795,-0.0603,0.5479,0.0,1.0,0.6083,0.5
adult-alpha_1-beta_1-gamma_1,1572004220,796,0.0251,0.9786,0.0,1.0,0.9535,0.33
adult-alpha_1-beta_1-gamma_1,1572004227,797,-0.158,0.567,0.0,1.0,0.725,0.67
adult-alpha_1-beta_1-gamma_1,1572004234,798,0.4577,1.1262,0.0,1.0,0.6685,0.5
adult-alpha_1-beta_1-gamma_1,1572004242,799,-0.6846,0.4203,0.0,1.0,1.1049,0.5
adult-alpha_1-beta_1-gamma_1,1572004249,800,2.6281,3.1395,0.0,1.0,0.5114,0.67
adult-alpha_1-beta_1-gamma_1,1572004256,801,-0.3471,0.4293,0.0,1.0,0.7764,0.5
adult-alpha_1-beta_1-gamma_1,1572004264,802,-0.2522,0.2832,0.0,1.0,0.5354,0.83
adult-alpha_1-beta_1-gamma_1,1572004271,803,0.6462,1.0448,0.0,1.0,0.3986,0.67
adult-alpha_1-beta_1-gamma_1,1572004278,804,-0.0323,0.9257,0.0,1.0,0.958,0.5
adult-alpha_1-beta_1-gamma_1,1572004286,805,0.8392,1.2744,0.0,1.0,0.4353,0.83
adult-alpha_1-beta_1-gamma_1,1572004293,806,0.7995,1.3944,0.0,1.0,0.5949,0.83
adult-alpha_1-beta_1-gamma_1,1572004300,807,0.0312,0.662,0.0,1.0,0.6308,0.67
adult-alpha_1-beta_1-gamma_1,1572004308,808,0.5301,0.9138,0.0,1.0,0.3838,0.83
adult-alpha_1-beta_1-gamma_1,1572004315,809,0.1233,0.5931,0.0,1.0,0.4698,0.83
adult-alpha_1-beta_1-gamma_1,1572004322,810,0.1926,0.7688,0.0,1.0,0.5762,0.5
adult-alpha_1-beta_1-gamma_1,1572004329,811,0.9906,1.4123,0.0,1.0,0.4217,0.83
adult-alpha_1-beta_1-gamma_1,1572004337,812,0.6671,1.0266,0.0,1.0,0.3594,0.83
adult-alpha_1-beta_1-gamma_1,1572004344,813,-0.5776,0.3569,0.0,1.0,0.9345,0.33
adult-alpha_1-beta_1-gamma_1,1572004351,814,0.1685,0.4347,0.0,1.0,0.2662,1.0
adult-alpha_1-beta_1-gamma_1,1572004359,815,0.0945,0.4673,0.0,1.0,0.3729,0.83
adult-alpha_1-beta_1-gamma_1,1572004366,816,1.4883,1.8936,0.0,1.0,0.4053,0.83
adult-alpha_1-beta_1-gamma_1,1572004373,817,0.1512,0.5534,0.0,1.0,0.4023,0.83
adult-alpha_1-beta_1-gamma_1,1572004380,818,-0.329,0.4563,0.0,1.0,0.7852,0.5
adult-alpha_1-beta_1-gamma_1,1572004388,819,0.9778,1.6476,0.0,1.0,0.6699,0.67
adult-alpha_1-beta_1-gamma_1,1572004395,820,-0.0259,0.688,0.0,1.0,0.7139,0.33
adult-alpha_1-beta_1-gamma_1,1572004402,821,0.8246,1.549,0.0,1.0,0.7245,0.33
adult-alpha_1-beta_1-gamma_1,1572004410,822,-0.0074,0.5617,0.0,1.0,0.5691,0.67
adult-alpha_1-beta_1-gamma_1,1572004417,823,2.388,3.1295,0.0,1.0,0.7415,0.5
adult-alpha_1-beta_1-gamma_1,1572004424,824,-0.125,0.4795,0.0,1.0,0.6046,0.67
adult-alpha_1-beta_1-gamma_1,1572004431,825,-0.0843,0.4648,0.0,1.0,0.5491,0.67
adult-alpha_1-beta_1-gamma_1,1572004439,826,0.6739,1.4364,0.0,1.0,0.7625,0.67
adult-alpha_1-beta_1-gamma_1,1572004446,827,0.9787,1.1106,0.0,1.0,0.1319,1.0
adult-alpha_1-beta_1-gamma_1,1572004453,828,-0.2164,0.37,0.0,1.0,0.5864,0.5
adult-alpha_1-beta_1-gamma_1,1572004461,829,0.13,0.6248,0.0,1.0,0.4948,0.83
adult-alpha_1-beta_1-gamma_1,1572004468,830,-0.0391,0.4605,0.0,1.0,0.4997,0.83
adult-alpha_1-beta_1-gamma_1,1572004475,831,0.0271,0.525,0.0,1.0,0.4978,0.67
adult-alpha_1-beta_1-gamma_1,1572004483,832,0.2377,0.5702,0.0,1.0,0.3326,0.83
adult-alpha_1-beta_1-gamma_1,1572004490,833,1.017,1.5418,0.0,1.0,0.5247,0.83
adult-alpha_1-beta_1-gamma_1,1572004497,834,0.0398,0.399,0.0,1.0,0.3593,1.0
adult-alpha_1-beta_1-gamma_1,1572004505,835,-0.0527,0.3553,0.0,1.0,0.408,0.83
adult-alpha_1-beta_1-gamma_1,1572004512,836,0.2082,0.6902,0.0,1.0,0.482,0.67
adult-alpha_1-beta_1-gamma_1,1572004519,837,0.6768,1.3678,0.0,1.0,0.691,0.67
adult-alpha_1-beta_1-gamma_1,1572004527,838,0.4263,0.7592,0.0,1.0,0.3329,1.0
adult-alpha_1-beta_1-gamma_1,1572004534,839,0.2428,0.8102,0.0,1.0,0.5674,0.67
adult-alpha_1-beta_1-gamma_1,1572004541,840,0.1924,0.4106,0.0,1.0,0.2182,1.0
adult-alpha_1-beta_1-gamma_1,1572004549,841,-0.1247,0.3662,0.0,1.0,0.4909,0.67
adult-alpha_1-beta_1-gamma_1,1572004556,842,0.0521,0.3176,0.0,1.0,0.2655,0.83
adult-alpha_1-beta_1-gamma_1,1572004563,843,0.2621,1.0134,0.0,1.0,0.7513,0.83
adult-alpha_1-beta_1-gamma_1,1572004570,844,1.0627,1.3762,0.0,1.0,0.3134,1.0
adult-alpha_1-beta_1-gamma_1,1572004578,845,-0.5466,0.417,0.0,1.0,0.9636,0.67
adult-alpha_1-beta_1-gamma_1,1572004585,846,-0.3056,0.7314,0.0,1.0,1.0371,0.5
adult-alpha_1-beta_1-gamma_1,1572004592,847,-0.4373,0.457,0.0,1.0,0.8943,0.5
adult-alpha_1-beta_1-gamma_1,1572004600,848,-0.1233,0.3787,0.0,1.0,0.5019,0.67
adult-alpha_1-beta_1-gamma_1,1572004607,849,0.031,0.4892,0.0,1.0,0.4582,0.67
adult-alpha_1-beta_1-gamma_1,1572004614,850,-0.1685,0.3022,0.0,1.0,0.4707,0.5
adult-alpha_1-beta_1-gamma_1,1572004621,851,-0.0519,0.6002,0.0,1.0,0.6521,0.5
adult-alpha_1-beta_1-gamma_1,1572004629,852,0.0996,0.4485,0.0,1.0,0.349,0.83
adult-alpha_1-beta_1-gamma_1,1572004636,853,0.087,0.4199,0.0,1.0,0.3329,1.0
adult-alpha_1-beta_1-gamma_1,1572004643,854,0.0963,0.8025,0.0,1.0,0.7062,0.83
adult-alpha_1-beta_1-gamma_1,1572004650,855,0.3679,1.1289,0.0,1.0,0.761,0.5
adult-alpha_1-beta_1-gamma_1,1572004658,856,-0.0315,0.4808,0.0,1.0,0.5122,0.5
adult-alpha_1-beta_1-gamma_1,1572004665,857,1.7219,2.0395,0.0,1.0,0.3176,0.83
adult-alpha_1-beta_1-gamma_1,1572004672,858,0.2268,0.5218,0.0,1.0,0.2951,1.0
adult-alpha_1-beta_1-gamma_1,1572004679,859,-0.0358,0.4584,0.0,1.0,0.4942,0.67
adult-alpha_1-beta_1-gamma_1,1572004687,860,0.8244,1.8209,0.0,1.0,0.9966,0.5
adult-alpha_1-beta_1-gamma_1,1572004694,861,0.0053,0.3784,0.0,1.0,0.3732,1.0
adult-alpha_1-beta_1-gamma_1,1572004701,862,1.4256,1.66,0.0,1.0,0.2344,1.0
adult-alpha_1-beta_1-gamma_1,1572004709,863,-0.1261,0.3701,0.0,1.0,0.4962,0.83
adult-alpha_1-beta_1-gamma_1,1572004716,864,-0.13,0.5049,0.0,1.0,0.6349,0.67
adult-alpha_1-beta_1-gamma_1,1572004723,865,-0.0211,0.4574,0.0,1.0,0.4784,0.67
adult-alpha_1-beta_1-gamma_1,1572004731,866,0.1535,0.5504,0.0,1.0,0.3969,0.67
adult-alpha_1-beta_1-gamma_1,1572004738,867,0.5514,1.0246,0.0,1.0,0.4732,0.67
adult-alpha_1-beta_1-gamma_1,1572004745,868,-0.1251,0.4066,0.0,1.0,0.5317,0.83
adult-alpha_1-beta_1-gamma_1,1572004752,869,-0.0783,0.4046,0.0,1.0,0.4829,0.83
adult-alpha_1-beta_1-gamma_1,1572004760,870,0.0102,0.4071,0.0,1.0,0.3969,0.83
adult-alpha_1-beta_1-gamma_1,1572004767,871,0.1184,0.3795,0.0,1.0,0.2611,1.0
adult-alpha_1-beta_1-gamma_1,1572004774,872,0.0724,0.5029,0.0,1.0,0.4305,1.0
adult-alpha_1-beta_1-gamma_1,1572004781,873,0.2958,1.2021,0.0,1.0,0.9063,0.67
adult-alpha_1-beta_1-gamma_1,1572004789,874,-0.0155,0.8386,0.0,1.0,0.8542,0.33
adult-alpha_1-beta_1-gamma_1,1572004796,875,0.729,1.0061,0.0,1.0,0.2771,1.0
adult-alpha_1-beta_1-gamma_1,1572004803,876,-0.1964,0.3237,0.0,1.0,0.5201,0.67
adult-alpha_1-beta_1-gamma_1,1572004811,877,-0.1253,0.5569,0.0,1.0,0.6822,0.67
adult-alpha_1-beta_1-gamma_1,1572004818,878,0.0226,0.4897,0.0,1.0,0.4671,0.67
adult-alpha_1-beta_1-gamma_1,1572004825,879,0.0871,0.6401,0.0,1.0,0.553,0.67
adult-alpha_1-beta_1-gamma_1,1572004833,880,1.0038,1.7829,0.0,1.0,0.7791,0.33
adult-alpha_1-beta_1-gamma_1,1572004840,881,0.8534,1.2917,0.0,1.0,0.4383,0.83
adult-alpha_1-beta_1-gamma_1,1572004847,882,-0.1007,0.398,0.0,1.0,0.4987,0.83
adult-alpha_1-beta_1-gamma_1,1572004855,883,-0.0287,0.4533,0.0,1.0,0.4821,0.67
adult-alpha_1-beta_1-gamma_1,1572004862,884,0.6388,1.1186,0.0,1.0,0.4798,0.67
adult-alpha_1-beta_1-gamma_1,1572004869,885,0.2044,0.8493,0.0,1.0,0.6449,0.83
adult-alpha_1-beta_1-gamma_1,1572004876,886,-0.182,0.459,0.0,1.0,0.641,0.5
adult-alpha_1-beta_1-gamma_1,1572004884,887,-0.1746,0.5245,0.0,1.0,0.6991,0.5
adult-alpha_1-beta_1-gamma_1,1572004891,888,0.1675,0.6743,0.0,1.0,0.5068,0.83
adult-alpha_1-beta_1-gamma_1,1572004898,889,1.3642,1.7752,0.0,1.0,0.411,0.83
adult-alpha_1-beta_1-gamma_1,1572004906,890,0.1973,1.1215,0.0,1.0,0.9242,0.17
adult-alpha_1-beta_1-gamma_1,1572004913,891,0.8829,1.2833,0.0,1.0,0.4004,1.0
adult-alpha_1-beta_1-gamma_1,1572004920,892,0.4296,1.273,0.0,1.0,0.8433,0.33
adult-alpha_1-beta_1-gamma_1,1572004928,893,0.5259,0.9818,0.0,1.0,0.4559,1.0
adult-alpha_1-beta_1-gamma_1,1572004935,894,-0.1136,0.4083,0.0,1.0,0.5218,0.83
adult-alpha_1-beta_1-gamma_1,1572004942,895,0.9729,1.6455,0.0,1.0,0.6726,0.5
adult-alpha_1-beta_1-gamma_1,1572004950,896,-0.1668,0.4938,0.0,1.0,0.6605,0.67
adult-alpha_1-beta_1-gamma_1,1572004957,897,-0.1022,0.6758,0.0,1.0,0.778,0.33
adult-alpha_1-beta_1-gamma_1,1572004964,898,0.1849,0.4642,0.0,1.0,0.2794,1.0
adult-alpha_1-beta_1-gamma_1,1572004972,899,0.4834,1.0245,0.0,1.0,0.5411,0.83
adult-alpha_1-beta_1-gamma_1,1572004979,900,0.153,0.7204,0.0,1.0,0.5674,0.67
adult-alpha_1-beta_1-gamma_1,1572004987,901,0.0268,0.4159,0.0,1.0,0.3891,0.83
adult-alpha_1-beta_1-gamma_1,1572004994,902,1.386,1.7246,0.0,1.0,0.3386,1.0
adult-alpha_1-beta_1-gamma_1,1572005001,903,1.682,3.0365,0.0,1.0,1.3545,0.33
adult-alpha_1-beta_1-gamma_1,1572005008,904,-0.1732,0.4957,0.0,1.0,0.6689,0.83
adult-alpha_1-beta_1-gamma_1,1572005016,905,-0.0057,0.5617,0.0,1.0,0.5674,0.67
adult-alpha_1-beta_1-gamma_1,1572005023,906,0.1964,0.6075,0.0,1.0,0.4111,0.83
adult-alpha_1-beta_1-gamma_1,1572005030,907,3.2373,3.5313,0.0,1.0,0.294,1.0
adult-alpha_1-beta_1-gamma_1,1572005037,908,-0.1163,0.3437,0.0,1.0,0.4601,0.83
adult-alpha_1-beta_1-gamma_1,1572005045,909,0.7652,1.8787,0.0,1.0,1.1135,0.33
adult-alpha_1-beta_1-gamma_1,1572005052,910,-0.4893,0.3973,0.0,1.0,0.8866,0.67
adult-alpha_1-beta_1-gamma_1,1572005059,911,3.9264,4.0522,0.0,1.0,0.1258,1.0
adult-alpha_1-beta_1-gamma_1,1572005067,912,0.6935,1.2971,0.0,1.0,0.6036,0.5
adult-alpha_1-beta_1-gamma_1,1572005074,913,-0.1507,0.3477,0.0,1.0,0.4985,0.83
adult-alpha_1-beta_1-gamma_1,1572005081,914,0.3467,0.7123,0.0,1.0,0.3655,0.83
adult-alpha_1-beta_1-gamma_1,1572005089,915,-0.0869,0.5367,0.0,1.0,0.6236,0.5
adult-alpha_1-beta_1-gamma_1,1572005096,916,-0.22,0.4819,0.0,1.0,0.7018,0.67
adult-alpha_1-beta_1-gamma_1,1572005103,917,0.0771,0.4816,0.0,1.0,0.4045,0.83
adult-alpha_1-beta_1-gamma_1,1572005111,918,0.1574,0.8231,0.0,1.0,0.6656,0.83
adult-alpha_1-beta_1-gamma_1,1572005118,919,-0.0334,0.4501,0.0,1.0,0.4835,0.83
adult-alpha_1-beta_1-gamma_1,1572005125,920,0.0138,0.3956,0.0,1.0,0.3818,1.0
adult-alpha_1-beta_1-gamma_1,1572005133,921,0.6165,0.9213,0.0,1.0,0.3048,0.83
adult-alpha_1-beta_1-gamma_1,1572005140,922,0.8722,1.4934,0.0,1.0,0.6212,0.83
adult-alpha_1-beta_1-gamma_1,1572005147,923,2.5024,3.0724,0.0,1.0,0.57,0.67
adult-alpha_1-beta_1-gamma_1,1572005154,924,0.906,1.3795,0.0,1.0,0.4735,0.67
adult-alpha_1-beta_1-gamma_1,1572005162,925,0.3211,0.9299,0.0,1.0,0.6088,0.83
adult-alpha_1-beta_1-gamma_1,1572005169,926,0.3673,0.9614,0.0,1.0,0.5942,0.5
adult-alpha_1-beta_1-gamma_1,1572005176,927,0.0232,0.4157,0.0,1.0,0.3925,0.83
adult-alpha_1-beta_1-gamma_1,1572005184,928,0.1593,0.6844,0.0,1.0,0.5251,0.67
adult-alpha_1-beta_1-gamma_1,1572005191,929,0.0048,0.4475,0.0,1.0,0.4427,0.67
adult-alpha_1-beta_1-gamma_1,1572005198,930,0.9556,1.2463,0.0,1.0,0.2908,0.83
adult-alpha_1-beta_1-gamma_1,1572005206,931,0.4152,1.2314,0.0,1.0,0.8162,0.5
adult-alpha_1-beta_1-gamma_1,1572005213,932,-0.1422,0.3763,0.0,1.0,0.5186,0.83
adult-alpha_1-beta_1-gamma_1,1572005220,933,0.7082,1.1225,0.0,1.0,0.4143,0.83
adult-alpha_1-beta_1-gamma_1,1572005228,934,0.1487,0.7739,0.0,1.0,0.6252,0.83
adult-alpha_1-beta_1-gamma_1,1572005235,935,1.7011,2.1578,0.0,1.0,0.4567,0.67
adult-alpha_1-beta_1-gamma_1,1572005242,936,-0.0025,0.6952,0.0,1.0,0.6976,0.83
adult-alpha_1-beta_1-gamma_1,1572005249,937,0.0299,0.315,0.0,1.0,0.2851,1.0
adult-alpha_1-beta_1-gamma_1,1572005257,938,0.173,0.559,0.0,1.0,0.386,0.67
adult-alpha_1-beta_1-gamma_1,1572005264,939,0.1333,0.5743,0.0,1.0,0.441,0.83
adult-alpha_1-beta_1-gamma_1,1572005271,940,-0.1087,0.2558,0.0,1.0,0.3645,0.83
adult-alpha_1-beta_1-gamma_1,1572005278,941,-0.1289,0.442,0.0,1.0,0.571,0.67
adult-alpha_1-beta_1-gamma_1,1572005286,942,0.001,0.4461,0.0,1.0,0.445,1.0
adult-alpha_1-beta_1-gamma_1,1572005293,943,0.6686,1.3564,0.0,1.0,0.6878,0.83
adult-alpha_1-beta_1-gamma_1,1572005300,944,0.7661,1.6837,0.0,1.0,0.9176,0.5
adult-alpha_1-beta_1-gamma_1,1572005308,945,0.8552,1.1845,0.0,1.0,0.3293,0.83
adult-alpha_1-beta_1-gamma_1,1572005315,946,1.9463,2.7707,0.0,1.0,0.8244,0.67
adult-alpha_1-beta_1-gamma_1,1572005322,947,0.1265,0.6915,0.0,1.0,0.565,0.67
adult-alpha_1-beta_1-gamma_1,1572005329,948,0.6048,1.1131,0.0,1.0,0.5083,0.67
adult-alpha_1-beta_1-gamma_1,1572005337,949,-0.1383,0.295,0.0,1.0,0.4333,0.83
adult-alpha_1-beta_1-gamma_1,1572005344,950,-0.3277,0.3409,0.0,1.0,0.6686,0.67
adult-alpha_1-beta_1-gamma_1,1572005351,951,-0.1113,0.4853,0.0,1.0,0.5966,0.5
adult-alpha_1-beta_1-gamma_1,1572005359,952,-0.1789,0.4758,0.0,1.0,0.6547,0.5
adult-alpha_1-beta_1-gamma_1,1572005366,953,0.4169,0.7996,0.0,1.0,0.3827,0.83
adult-alpha_1-beta_1-gamma_1,1572005373,954,0.0066,0.6306,0.0,1.0,0.624,0.67
adult-alpha_1-beta_1-gamma_1,1572005380,955,-0.1685,0.3559,0.0,1.0,0.5244,0.67
adult-alpha_1-beta_1-gamma_1,1572005388,956,0.0006,0.48,0.0,1.0,0.4794,0.5
adult-alpha_1-beta_1-gamma_1,1572005395,957,-0.0257,0.4557,0.0,1.0,0.4814,0.83
adult-alpha_1-beta_1-gamma_1,1572005403,958,0.9118,1.4445,0.0,1.0,0.5327,0.83
adult-alpha_1-beta_1-gamma_1,1572005410,959,0.0799,0.4189,0.0,1.0,0.339,0.83
adult-alpha_1-beta_1-gamma_1,1572005417,960,0.6652,1.4584,0.0,1.0,0.7932,0.5
adult-alpha_1-beta_1-gamma_1,1572005424,961,-0.027,0.4251,0.0,1.0,0.4521,0.83
adult-alpha_1-beta_1-gamma_1,1572005432,962,-0.0622,0.4983,0.0,1.0,0.5605,0.67
adult-alpha_1-beta_1-gamma_1,1572005439,963,-0.1792,0.4625,0.0,1.0,0.6417,0.83
adult-alpha_1-beta_1-gamma_1,1572005446,964,1.1906,1.7888,0.0,1.0,0.5982,0.67
adult-alpha_1-beta_1-gamma_1,1572005454,965,0.0873,0.515,0.0,1.0,0.4277,0.67
adult-alpha_1-beta_1-gamma_1,1572005461,966,-0.0227,0.3141,0.0,1.0,0.3369,1.0
adult-alpha_1-beta_1-gamma_1,1572005468,967,0.7044,1.1686,0.0,1.0,0.4642,0.83
adult-alpha_1-beta_1-gamma_1,1572005476,968,0.3771,0.7979,0.0,1.0,0.4208,0.83
adult-alpha_1-beta_1-gamma_1,1572005483,969,-0.1511,0.4134,0.0,1.0,0.5644,0.67
adult-alpha_1-beta_1-gamma_1,1572005490,970,0.1848,0.6802,0.0,1.0,0.4954,0.83
adult-alpha_1-beta_1-gamma_1,1572005497,971,0.0669,0.4555,0.0,1.0,0.3886,0.83
adult-alpha_1-beta_1-gamma_1,1572005505,972,0.6412,0.8744,0.0,1.0,0.2332,0.83
adult-alpha_1-beta_1-gamma_1,1572005512,973,0.2804,0.5494,0.0,1.0,0.269,1.0
adult-alpha_1-beta_1-gamma_1,1572005519,974,-0.0063,0.5546,0.0,1.0,0.5609,0.83
adult-alpha_1-beta_1-gamma_1,1572005526,975,-0.1988,0.3964,0.0,1.0,0.5952,0.67
adult-alpha_1-beta_1-gamma_1,1572005534,976,0.0699,0.4274,0.0,1.0,0.3574,1.0
adult-alpha_1-beta_1-gamma_1,1572005541,977,-0.109,0.4291,0.0,1.0,0.5381,0.67
adult-alpha_1-beta_1-gamma_1,1572005548,978,0.0181,0.4876,0.0,1.0,0.4694,0.83
adult-alpha_1-beta_1-gamma_1,1572005556,979,0.3787,1.0045,0.0,1.0,0.6257,0.5
adult-alpha_1-beta_1-gamma_1,1572005563,980,-0.1593,0.3935,0.0,1.0,0.5528,0.67
adult-alpha_1-beta_1-gamma_1,1572005570,981,-0.2886,0.4484,0.0,1.0,0.7371,0.5
adult-alpha_1-beta_1-gamma_1,1572005578,982,0.2226,0.7181,0.0,1.0,0.4955,0.67
adult-alpha_1-beta_1-gamma_1,1572005585,983,0.0051,0.3978,0.0,1.0,0.3927,0.83
adult-alpha_1-beta_1-gamma_1,1572005592,984,0.9374,1.3554,0.0,1.0,0.418,0.83
adult-alpha_1-beta_1-gamma_1,1572005600,985,-0.2456,0.2844,0.0,1.0,0.53,0.67
adult-alpha_1-beta_1-gamma_1,1572005607,986,3.8427,4.2216,0.0,1.0,0.3789,0.83
adult-alpha_1-beta_1-gamma_1,1572005614,987,-0.1168,0.3968,0.0,1.0,0.5136,0.67
adult-alpha_1-beta_1-gamma_1,1572005621,988,0.5568,1.112,0.0,1.0,0.5552,0.67
adult-alpha_1-beta_1-gamma_1,1572005629,989,0.2407,0.7259,0.0,1.0,0.4852,0.67
adult-alpha_1-beta_1-gamma_1,1572005636,990,0.6117,1.2168,0.0,1.0,0.6052,0.67
adult-alpha_1-beta_1-gamma_1,1572005643,991,0.0916,0.5034,0.0,1.0,0.4117,0.83
adult-alpha_1-beta_1-gamma_1,1572005651,992,1.0872,1.237,0.0,1.0,0.1498,1.0
adult-alpha_1-beta_1-gamma_1,1572005658,993,0.2715,0.8123,0.0,1.0,0.5408,0.67
adult-alpha_1-beta_1-gamma_1,1572005665,994,-0.0936,0.3663,0.0,1.0,0.4599,0.83
adult-alpha_1-beta_1-gamma_1,1572005672,995,-0.0394,0.5148,0.0,1.0,0.5542,0.5
adult-alpha_1-beta_1-gamma_1,1572005680,996,0.8898,1.3159,0.0,1.0,0.426,0.67
adult-alpha_1-beta_1-gamma_1,1572005687,997,0.0601,0.4221,0.0,1.0,0.3619,0.83
adult-alpha_1-beta_1-gamma_1,1572005694,998,0.2028,0.8775,0.0,1.0,0.6747,0.5
adult-alpha_1-beta_1-gamma_1,1572005701,999,3.4346,3.7291,0.0,1.0,0.2945,0.83
