adult-alpha_1-beta_1-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
adult-alpha_1-beta_1-gamma_1,1571999235,113,0.3731,0.6159,0.0,1.0,0.2427,1.0
adult-alpha_1-beta_1-gamma_1,1571999242,114,-0.1222,0.6006,0.0,1.0,0.7228,0.5
adult-alpha_1-beta_1-gamma_1,1571999249,115,0.0111,0.3452,0.0,1.0,0.3341,0.83
adult-alpha_1-beta_1-gamma_1,1571999256,116,0.6934,1.1062,0.0,1.0,0.4128,0.83
adult-alpha_1-beta_1-gamma_1,1571999264,117,0.3705,0.926,0.0,1.0,0.5555,0.83
adult-alpha_1-beta_1-gamma_1,1571999271,118,0.4072,1.1811,0.0,1.0,0.7739,0.5
adult-alpha_1-beta_1-gamma_1,1571999278,119,1.6354,1.7766,0.0,1.0,0.1412,1.0
adult-alpha_1-beta_1-gamma_1,1571999285,120,0.964,1.2885,0.0,1.0,0.3246,1.0
adult-alpha_1-beta_1-gamma_1,1571999293,121,-0.1988,0.6346,0.0,1.0,0.8334,0.67
adult-alpha_1-beta_1-gamma_1,1571999300,122,-0.0313,0.2914,0.0,1.0,0.3227,0.83
adult-alpha_1-beta_1-gamma_1,1571999307,123,-0.0182,0.6348,0.0,1.0,0.653,0.67
adult-alpha_1-beta_1-gamma_1,1571999315,124,-0.1059,0.3828,0.0,1.0,0.4887,0.67
adult-alpha_1-beta_1-gamma_1,1571999322,125,0.0618,0.9831,0.0,1.0,0.9213,0.5
adult-alpha_1-beta_1-gamma_1,1571999329,126,-0.0509,0.4872,0.0,1.0,0.538,0.67
adult-alpha_1-beta_1-gamma_1,1571999337,127,0.057,0.5093,0.0,1.0,0.4522,0.83
adult-alpha_1-beta_1-gamma_1,1571999344,128,0.192,0.4667,0.0,1.0,0.2747,1.0
adult-alpha_1-beta_1-gamma_1,1571999351,129,0.148,0.6987,0.0,1.0,0.5507,0.83
adult-alpha_1-beta_1-gamma_1,1571999358,130,3.8145,4.3227,0.0,1.0,0.5082,0.83
adult-alpha_1-beta_1-gamma_1,1571999366,131,0.2342,1.1574,0.0,1.0,0.9232,0.5
adult-alpha_1-beta_1-gamma_1,1571999373,132,0.9937,1.4481,0.0,1.0,0.4543,0.67
adult-alpha_1-beta_1-gamma_1,1571999380,133,0.0167,0.8922,0.0,1.0,0.8755,0.5
adult-alpha_1-beta_1-gamma_1,1571999388,134,0.1895,0.4362,0.0,1.0,0.2467,1.0
adult-alpha_1-beta_1-gamma_1,1571999395,135,0.2792,0.7162,0.0,1.0,0.437,0.67
adult-alpha_1-beta_1-gamma_1,1571999402,136,0.2964,0.636,0.0,1.0,0.3396,0.83
