compas-alpha_1-beta_0.0-gamma_0.5,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_0.0-gamma_0.5,1571660002,161,0.5623,0.0,0.5647,0.73,0.0024,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660002,162,0.5612,0.0,0.5624,0.77,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660003,163,0.6096,0.0,0.6148,0.73,0.0052,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660003,164,0.7213,0.0,0.7234,0.63,0.0021,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660004,165,0.5673,0.0,0.5678,0.83,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660005,166,0.6136,0.0,0.615,0.7,0.0014,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660005,167,0.5548,0.0,0.5587,0.77,0.0038,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660006,168,0.6552,0.0,0.6594,0.6,0.0042,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660006,169,0.6812,0.0,0.682,0.6,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660007,170,0.6089,0.0,0.6094,0.7,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660007,171,0.6771,0.0,0.678,0.57,0.0009,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660008,172,0.5981,0.0,0.599,0.53,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660008,173,0.6206,0.0,0.6279,0.8,0.0073,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660009,174,0.6073,0.0,0.6079,0.8,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660009,175,0.6028,0.0,0.6048,0.7,0.002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660010,176,0.6126,0.0,0.6131,0.77,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660010,177,0.584,0.0,0.5843,0.73,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660011,178,0.6249,0.0,0.6321,0.67,0.0072,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660011,179,0.704,0.0,0.7043,0.57,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660012,180,0.679,0.0,0.6853,0.6,0.0063,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660013,181,0.5366,0.0,0.5397,0.77,0.0031,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660013,182,0.6735,0.0,0.6772,0.6,0.0037,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660014,183,0.7726,0.0,0.7741,0.47,0.0014,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660014,184,0.5957,0.0,0.5997,0.77,0.0039,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660015,185,0.6635,0.0,0.6638,0.6,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660015,186,0.6273,0.0,0.629,0.63,0.0017,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660016,187,0.7007,0.0,0.7009,0.53,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660017,188,0.634,0.0,0.6352,0.67,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660017,189,0.6756,0.0,0.6772,0.7,0.0016,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660018,190,0.6944,0.0,0.695,0.57,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660018,191,0.651,0.0,0.6529,0.7,0.0019,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660019,192,0.6899,0.0,0.6901,0.57,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660019,193,0.6965,0.0,0.6968,0.63,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660020,194,0.6975,0.0,0.6977,0.53,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660021,195,0.679,0.0,0.6819,0.6,0.0028,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660021,196,0.7198,0.0,0.7203,0.73,0.0005,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660022,197,0.5996,0.0,0.6005,0.63,0.0009,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660022,198,0.5394,0.0,0.5434,0.77,0.004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660023,199,0.5486,0.0,0.5499,0.77,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660023,200,0.6832,0.0,0.684,0.53,0.0008,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660024,201,0.6097,0.0,0.6097,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660024,202,0.7021,0.0,0.7024,0.5,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660025,203,0.6428,0.0,0.6428,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660025,204,0.5417,0.0,0.545,0.73,0.0033,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660026,205,0.4482,0.0,0.4484,0.9,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660027,206,0.5722,0.0,0.5731,0.77,0.0009,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660027,207,0.5384,0.0,0.54,0.8,0.0015,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660028,208,0.7275,0.0,0.7293,0.7,0.0018,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660028,209,0.6437,0.0,0.646,0.63,0.0022,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660029,210,0.6849,0.0,0.6852,0.53,0.0003,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660030,211,0.6205,0.0,0.6209,0.63,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660030,212,0.5832,0.0,0.5834,0.7,0.0002,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660031,213,0.6759,0.0,0.678,0.67,0.0022,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660032,214,0.6592,0.0,0.6604,0.63,0.0011,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660033,215,0.6347,0.0,0.6351,0.73,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660033,216,0.5907,0.0,0.602,0.73,0.0113,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660034,217,0.5232,0.0,0.5238,0.83,0.0007,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660035,218,0.6022,0.0,0.6041,0.8,0.0019,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660036,219,0.6806,0.0,0.681,0.6,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660036,220,0.5697,0.0,0.5707,0.77,0.001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660037,221,0.6416,0.0,0.6431,0.7,0.0015,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660038,222,0.6616,0.0,0.662,0.6,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660039,223,0.6037,0.0,0.6064,0.63,0.0028,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660040,224,0.5354,0.0,0.5372,0.77,0.0018,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660040,225,0.5478,0.0,0.5478,0.77,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660041,226,0.6775,0.0,0.6779,0.63,0.0004,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660042,227,0.6235,0.0,0.6251,0.67,0.0016,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660043,228,0.6156,0.0,0.6167,0.67,0.001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660043,229,0.6745,0.0,0.6758,0.7,0.0013,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660044,230,0.4893,0.0,0.4905,0.77,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660045,231,0.6554,0.0,0.6566,0.6,0.0012,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660046,232,0.6915,0.0,0.6921,0.53,0.0006,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660046,233,0.5296,0.0,0.5297,0.73,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660047,234,0.587,0.0,0.5871,0.67,0.0001,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660048,235,0.5959,0.0,0.598,0.7,0.0021,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660048,236,0.6486,0.0,0.6489,0.7,0.0003,1.0
