compas-alpha_1-beta_0.0-gamma_0.5,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_0.0-gamma_0.5,1571660352,723,0.6045,0.0,0.6045,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660353,724,0.5535,0.0,0.5535,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660353,725,0.6193,0.0,0.6193,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660354,726,0.6929,0.0,0.6929,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660355,727,0.5303,0.0,0.5303,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660355,728,0.6814,0.0,0.6814,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660356,729,0.5247,0.0,0.5247,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660357,730,0.479,0.0,0.479,0.9,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660357,731,0.5581,0.0,0.5581,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660358,732,0.6245,0.0,0.6245,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660359,733,0.6532,0.0,0.6532,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660359,734,0.6102,0.0,0.6102,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660360,735,0.6194,0.0,0.6194,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660360,736,0.6221,0.0,0.6221,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660361,737,0.6708,0.0,0.6708,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660362,738,0.6368,0.0,0.6368,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660362,739,0.6049,0.0,0.6049,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660363,740,0.5206,0.0,0.5206,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660364,741,0.5856,0.0,0.5856,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660364,742,0.5885,0.0,0.5885,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660365,743,0.5408,0.0,0.5408,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660366,744,0.6383,0.0,0.6383,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660366,745,0.6054,0.0,0.6054,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660367,746,0.6529,0.0,0.6529,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660367,747,0.5755,0.0,0.5755,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660368,748,0.5818,0.0,0.5818,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660369,749,0.6753,0.0,0.6753,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660369,750,0.6128,0.0,0.6128,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660370,751,0.5187,0.0,0.5187,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660370,752,0.5567,0.0,0.5567,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660371,753,0.5795,0.0,0.5795,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660372,754,0.5688,0.0,0.5688,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660372,755,0.6133,0.0,0.6133,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660373,756,0.6151,0.0,0.6151,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660373,757,0.5756,0.0,0.5756,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660374,758,0.621,0.0,0.621,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660374,759,0.5264,0.0,0.5264,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660375,760,0.5841,0.0,0.5842,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660375,761,0.7155,0.0,0.7155,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660376,762,0.6947,0.0,0.6947,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660377,763,0.6137,0.0,0.6137,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660377,764,0.5336,0.0,0.5336,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660378,765,0.6776,0.0,0.6776,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660378,766,0.6086,0.0,0.6086,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660379,767,0.7074,0.0,0.7074,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660380,768,0.5286,0.0,0.5286,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660380,769,0.5691,0.0,0.5691,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660381,770,0.6305,0.0,0.6305,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660381,771,0.7714,0.0,0.7714,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660382,772,0.5077,0.0,0.5077,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660382,773,0.6258,0.0,0.6258,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660383,774,0.6007,0.0,0.6007,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660383,775,0.6176,0.0,0.6176,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660384,776,0.6903,0.0,0.6903,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660384,777,0.6075,0.0,0.6075,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660385,778,0.6895,0.0,0.6895,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660385,779,0.6508,0.0,0.6508,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660386,780,0.6397,0.0,0.6397,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660386,781,0.5625,0.0,0.5625,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660387,782,0.6705,0.0,0.6705,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660388,783,0.6315,0.0,0.6315,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660388,784,0.6283,0.0,0.6283,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660389,785,0.5815,0.0,0.5815,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660389,786,0.6392,0.0,0.6392,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660390,787,0.7517,0.0,0.7517,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660391,788,0.6147,0.0,0.6147,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660391,789,0.6996,0.0,0.6996,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660392,790,0.4883,0.0,0.4883,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660392,791,0.7754,0.0,0.7754,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660393,792,0.6482,0.0,0.6482,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660394,793,0.5371,0.0,0.5371,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660394,794,0.524,0.0,0.524,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660395,795,0.6276,0.0,0.6276,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660395,796,0.658,0.0,0.658,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660396,797,0.6022,0.0,0.6022,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660396,798,0.6099,0.0,0.6099,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660397,799,0.572,0.0,0.572,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660398,800,0.6439,0.0,0.6439,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660398,801,0.6498,0.0,0.6498,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660399,802,0.6737,0.0,0.6737,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660399,803,0.6669,0.0,0.6669,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660400,804,0.5592,0.0,0.5592,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660400,805,0.5563,0.0,0.5563,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660401,806,0.5689,0.0,0.5689,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660401,807,0.7549,0.0,0.7549,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660402,808,0.573,0.0,0.573,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660403,809,0.5637,0.0,0.5637,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660403,810,0.538,0.0,0.538,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660404,811,0.6293,0.0,0.6293,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660404,812,0.6015,0.0,0.6015,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660405,813,0.5267,0.0,0.5267,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660405,814,0.6242,0.0,0.6242,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660406,815,0.628,0.0,0.628,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660406,816,0.6241,0.0,0.6241,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660407,817,0.6099,0.0,0.6099,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660407,818,0.6081,0.0,0.6081,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660408,819,0.4896,0.0,0.4896,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660408,820,0.6492,0.0,0.6492,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660409,821,0.7342,0.0,0.7342,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660409,822,0.5526,0.0,0.5526,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660410,823,0.6354,0.0,0.6354,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660410,824,0.6249,0.0,0.6249,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660411,825,0.5455,0.0,0.5455,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660411,826,0.651,0.0,0.651,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660412,827,0.4618,0.0,0.4618,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660413,828,0.6913,0.0,0.6913,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660413,829,0.6196,0.0,0.6196,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660414,830,0.6595,0.0,0.6595,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660414,831,0.5729,0.0,0.5729,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660415,832,0.5843,0.0,0.5843,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660415,833,0.565,0.0,0.565,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660416,834,0.6646,0.0,0.6646,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660416,835,0.5287,0.0,0.5287,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660417,836,0.5315,0.0,0.5315,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660417,837,0.5103,0.0,0.5103,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660418,838,0.5453,0.0,0.5453,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660419,839,0.572,0.0,0.572,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660420,840,0.5421,0.0,0.5421,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660420,841,0.6259,0.0,0.6259,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660421,842,0.7704,0.0,0.7704,0.47,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660422,843,0.5904,0.0,0.5904,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660422,844,0.5629,0.0,0.5629,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660423,845,0.5736,0.0,0.5736,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660424,846,0.6264,0.0,0.6264,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660424,847,0.5823,0.0,0.5823,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660425,848,0.6084,0.0,0.6084,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660426,849,0.6956,0.0,0.6956,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660426,850,0.6941,0.0,0.6941,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660427,851,0.6344,0.0,0.6344,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660427,852,0.5917,0.0,0.5917,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660428,853,0.6018,0.0,0.6018,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660429,854,0.6128,0.0,0.6128,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660429,855,0.7051,0.0,0.7051,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660430,856,0.5665,0.0,0.5666,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660431,857,0.6354,0.0,0.6354,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660431,858,0.5451,0.0,0.5451,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660432,859,0.6304,0.0,0.6304,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660432,860,0.5708,0.0,0.5708,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660433,861,0.6833,0.0,0.6833,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660434,862,0.5341,0.0,0.5341,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660434,863,0.6961,0.0,0.6961,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660435,864,0.625,0.0,0.625,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660436,865,0.6902,0.0,0.6902,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660436,866,0.5758,0.0,0.5758,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660437,867,0.5904,0.0,0.5905,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660438,868,0.6101,0.0,0.6101,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660438,869,0.7829,0.0,0.7829,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660439,870,0.6169,0.0,0.6169,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660440,871,0.7302,0.0,0.7302,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660440,872,0.5713,0.0,0.5713,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660441,873,0.6819,0.0,0.6819,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660441,874,0.701,0.0,0.701,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660442,875,0.6109,0.0,0.6109,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660443,876,0.6244,0.0,0.6244,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660443,877,0.6388,0.0,0.6388,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660444,878,0.6418,0.0,0.6418,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660445,879,0.5642,0.0,0.5642,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660446,880,0.6532,0.0,0.6532,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660446,881,0.6501,0.0,0.6501,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660447,882,0.6447,0.0,0.6447,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660448,883,0.6561,0.0,0.6561,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660448,884,0.6207,0.0,0.6207,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660449,885,0.5629,0.0,0.5629,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660450,886,0.6903,0.0,0.6903,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660450,887,0.5396,0.0,0.5396,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660451,888,0.7426,0.0,0.7426,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660452,889,0.677,0.0,0.677,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660452,890,0.6993,0.0,0.6993,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660453,891,0.5921,0.0,0.5921,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660454,892,0.6131,0.0,0.6131,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660454,893,0.659,0.0,0.659,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660455,894,0.6272,0.0,0.6272,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660456,895,0.5146,0.0,0.5146,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660457,896,0.593,0.0,0.593,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660457,897,0.6553,0.0,0.6553,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660458,898,0.644,0.0,0.644,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660459,899,0.6415,0.0,0.6415,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660459,900,0.6099,0.0,0.6099,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660460,901,0.5426,0.0,0.5426,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660460,902,0.6015,0.0,0.6015,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660461,903,0.5394,0.0,0.5394,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660462,904,0.6229,0.0,0.6229,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660462,905,0.6089,0.0,0.6089,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660463,906,0.596,0.0,0.596,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660464,907,0.5679,0.0,0.5679,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660465,908,0.6691,0.0,0.6691,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660465,909,0.6171,0.0,0.6171,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660466,910,0.743,0.0,0.743,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660467,911,0.5353,0.0,0.5353,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660467,912,0.5839,0.0,0.5839,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660468,913,0.5146,0.0,0.5146,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660469,914,0.6557,0.0,0.6557,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660469,915,0.5897,0.0,0.5897,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660470,916,0.6179,0.0,0.6179,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660471,917,0.6146,0.0,0.6146,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660471,918,0.59,0.0,0.59,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660472,919,0.5639,0.0,0.5639,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660472,920,0.6512,0.0,0.6512,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660473,921,0.6236,0.0,0.6236,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660474,922,0.6448,0.0,0.6448,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660474,923,0.6145,0.0,0.6145,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660475,924,0.6853,0.0,0.6853,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660476,925,0.6198,0.0,0.6198,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660476,926,0.5772,0.0,0.5772,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660477,927,0.7375,0.0,0.7375,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660478,928,0.5803,0.0,0.5803,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660478,929,0.579,0.0,0.579,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660479,930,0.5902,0.0,0.5902,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660480,931,0.4339,0.0,0.4339,0.87,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660480,932,0.6585,0.0,0.6585,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660481,933,0.7076,0.0,0.7076,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660482,934,0.756,0.0,0.756,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660482,935,0.5775,0.0,0.5775,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660483,936,0.5396,0.0,0.5396,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660484,937,0.6131,0.0,0.6131,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660484,938,0.6684,0.0,0.6684,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660485,939,0.7149,0.0,0.7149,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660486,940,0.6328,0.0,0.6328,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660486,941,0.6265,0.0,0.6265,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660487,942,0.605,0.0,0.605,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660488,943,0.5923,0.0,0.5923,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660488,944,0.6452,0.0,0.6452,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660489,945,0.4985,0.0,0.4985,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660490,946,0.7011,0.0,0.7011,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660490,947,0.6161,0.0,0.6161,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660491,948,0.5774,0.0,0.5774,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660491,949,0.6499,0.0,0.6499,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660492,950,0.6213,0.0,0.6213,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660493,951,0.5948,0.0,0.5948,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660493,952,0.6069,0.0,0.6069,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660494,953,0.6145,0.0,0.6145,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660495,954,0.6596,0.0,0.6596,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660495,955,0.7221,0.0,0.7221,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660496,956,0.6225,0.0,0.6225,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660497,957,0.7213,0.0,0.7213,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660497,958,0.6852,0.0,0.6852,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660498,959,0.6381,0.0,0.6381,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660499,960,0.6268,0.0,0.6268,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660500,961,0.6521,0.0,0.6521,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660500,962,0.7434,0.0,0.7434,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660501,963,0.6495,0.0,0.6495,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660501,964,0.5808,0.0,0.5808,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660502,965,0.6039,0.0,0.6039,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660502,966,0.6828,0.0,0.6828,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660503,967,0.6886,0.0,0.6886,0.53,0.0,1.0
