compas-alpha_1-beta_1-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_1-gamma_1,1571651075,236,0.6649,0.0166,0.6489,0.7,0.0007,1.0
compas-alpha_1-beta_1-gamma_1,1571651076,237,0.5433,0.0083,0.5355,0.73,0.0005,1.0
compas-alpha_1-beta_1-gamma_1,1571651076,238,0.6148,0.0151,0.6025,0.6,0.0028,1.0
compas-alpha_1-beta_1-gamma_1,1571651076,239,0.546,0.0146,0.5323,0.7,0.0008,1.0
compas-alpha_1-beta_1-gamma_1,1571651077,240,0.6421,0.0178,0.6245,0.57,0.0002,1.0
compas-alpha_1-beta_1-gamma_1,1571651077,241,0.5226,0.019,0.505,0.87,0.0013,1.0
compas-alpha_1-beta_1-gamma_1,1571651078,242,0.7522,0.0144,0.7386,0.57,0.0008,1.0
compas-alpha_1-beta_1-gamma_1,1571651078,243,0.689,0.0169,0.6744,0.6,0.0023,1.0
compas-alpha_1-beta_1-gamma_1,1571651079,244,0.6881,0.017,0.6717,0.63,0.0006,1.0
compas-alpha_1-beta_1-gamma_1,1571651079,245,0.6674,0.0097,0.6592,0.53,0.0014,1.0
compas-alpha_1-beta_1-gamma_1,1571651079,246,0.7317,0.0176,0.7162,0.57,0.0021,1.0
compas-alpha_1-beta_1-gamma_1,1571651080,247,0.6525,0.0182,0.6353,0.57,0.0011,1.0
compas-alpha_1-beta_1-gamma_1,1571651080,248,0.6296,0.0207,0.6098,0.67,0.001,1.0
compas-alpha_1-beta_1-gamma_1,1571651081,249,0.6204,0.0135,0.611,0.67,0.0041,1.0
compas-alpha_1-beta_1-gamma_1,1571651081,250,0.564,0.0136,0.5505,0.8,0.0001,1.0
