compas-alpha_1-beta_0.0-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_0.0-gamma_1,1571659261,745,0.6054,0.0,0.6054,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659261,746,0.6528,0.0,0.6529,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659262,747,0.5755,0.0,0.5755,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659262,748,0.5818,0.0,0.5818,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659262,749,0.6753,0.0,0.6753,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659263,750,0.6128,0.0,0.6128,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659263,751,0.5187,0.0,0.5187,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659264,752,0.5567,0.0,0.5567,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659264,753,0.5795,0.0,0.5795,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659264,754,0.5688,0.0,0.5688,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659265,755,0.6133,0.0,0.6133,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659265,756,0.6151,0.0,0.6151,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659265,757,0.5756,0.0,0.5756,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659266,758,0.621,0.0,0.621,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659266,759,0.5264,0.0,0.5264,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659266,760,0.5841,0.0,0.5842,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659267,761,0.7155,0.0,0.7155,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659267,762,0.6947,0.0,0.6947,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659268,763,0.6137,0.0,0.6137,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659268,764,0.5336,0.0,0.5336,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659268,765,0.6776,0.0,0.6776,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659269,766,0.6086,0.0,0.6086,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659269,767,0.7074,0.0,0.7074,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659269,768,0.5286,0.0,0.5286,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659270,769,0.5691,0.0,0.5691,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659270,770,0.6305,0.0,0.6305,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659270,771,0.7714,0.0,0.7714,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659271,772,0.5077,0.0,0.5077,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659271,773,0.6258,0.0,0.6258,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659272,774,0.6007,0.0,0.6007,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659272,775,0.6176,0.0,0.6176,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659272,776,0.6903,0.0,0.6903,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659273,777,0.6075,0.0,0.6075,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659273,778,0.6895,0.0,0.6895,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659273,779,0.6508,0.0,0.6508,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659274,780,0.6397,0.0,0.6397,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659274,781,0.5625,0.0,0.5625,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659274,782,0.6705,0.0,0.6705,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659275,783,0.6315,0.0,0.6315,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659275,784,0.6283,0.0,0.6283,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659275,785,0.5815,0.0,0.5815,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659276,786,0.6392,0.0,0.6392,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659276,787,0.7517,0.0,0.7517,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659277,788,0.6147,0.0,0.6147,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659277,789,0.6996,0.0,0.6996,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659277,790,0.4883,0.0,0.4883,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659278,791,0.7754,0.0,0.7754,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659278,792,0.6482,0.0,0.6482,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659278,793,0.5371,0.0,0.5371,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659279,794,0.524,0.0,0.524,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659279,795,0.6276,0.0,0.6276,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659279,796,0.658,0.0,0.658,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659280,797,0.6022,0.0,0.6022,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659280,798,0.6099,0.0,0.6099,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659281,799,0.572,0.0,0.572,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659281,800,0.6439,0.0,0.6439,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659281,801,0.6498,0.0,0.6498,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659282,802,0.6737,0.0,0.6737,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659282,803,0.6669,0.0,0.6669,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659282,804,0.5592,0.0,0.5592,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659283,805,0.5563,0.0,0.5563,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659283,806,0.5689,0.0,0.5689,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659283,807,0.7549,0.0,0.7549,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659284,808,0.573,0.0,0.573,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659284,809,0.5637,0.0,0.5637,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659284,810,0.538,0.0,0.538,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659285,811,0.6292,0.0,0.6293,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659285,812,0.6015,0.0,0.6015,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659285,813,0.5267,0.0,0.5267,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659286,814,0.6242,0.0,0.6242,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659286,815,0.628,0.0,0.628,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659287,816,0.6241,0.0,0.6241,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659287,817,0.6099,0.0,0.6099,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659287,818,0.6081,0.0,0.6081,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659288,819,0.4896,0.0,0.4896,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659288,820,0.6492,0.0,0.6492,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659288,821,0.7342,0.0,0.7342,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659289,822,0.5526,0.0,0.5526,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659289,823,0.6354,0.0,0.6354,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659289,824,0.6249,0.0,0.6249,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659290,825,0.5455,0.0,0.5455,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659290,826,0.651,0.0,0.651,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659291,827,0.4618,0.0,0.4618,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659291,828,0.6913,0.0,0.6913,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659291,829,0.6196,0.0,0.6196,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659292,830,0.6595,0.0,0.6595,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659292,831,0.5729,0.0,0.5729,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659292,832,0.5843,0.0,0.5843,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659293,833,0.565,0.0,0.565,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659293,834,0.6646,0.0,0.6646,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659293,835,0.5287,0.0,0.5287,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659294,836,0.5315,0.0,0.5315,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659294,837,0.5103,0.0,0.5103,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659294,838,0.5453,0.0,0.5453,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659295,839,0.572,0.0,0.572,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659295,840,0.5421,0.0,0.5421,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659296,841,0.6259,0.0,0.6259,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659296,842,0.7704,0.0,0.7704,0.47,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659296,843,0.5904,0.0,0.5904,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659297,844,0.5629,0.0,0.5629,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659297,845,0.5736,0.0,0.5736,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659297,846,0.6264,0.0,0.6264,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659298,847,0.5823,0.0,0.5823,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659298,848,0.6084,0.0,0.6084,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659298,849,0.6956,0.0,0.6956,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659299,850,0.6941,0.0,0.6941,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659299,851,0.6344,0.0,0.6344,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659299,852,0.5917,0.0,0.5917,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659300,853,0.6018,0.0,0.6018,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659300,854,0.6128,0.0,0.6128,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659301,855,0.7051,0.0,0.7051,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659301,856,0.5665,0.0,0.5666,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659301,857,0.6354,0.0,0.6354,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659302,858,0.5451,0.0,0.5451,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659302,859,0.6304,0.0,0.6304,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659302,860,0.5708,0.0,0.5708,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659303,861,0.6833,0.0,0.6833,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659303,862,0.5341,0.0,0.5341,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659303,863,0.6961,0.0,0.6961,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659304,864,0.625,0.0,0.625,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659304,865,0.6902,0.0,0.6902,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659304,866,0.5758,0.0,0.5758,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659305,867,0.5904,0.0,0.5905,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659305,868,0.6101,0.0,0.6101,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659306,869,0.7829,0.0,0.7829,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659306,870,0.6169,0.0,0.6169,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659306,871,0.7302,0.0,0.7302,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659307,872,0.5713,0.0,0.5713,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659307,873,0.6819,0.0,0.6819,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659307,874,0.701,0.0,0.701,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659308,875,0.6109,0.0,0.6109,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659308,876,0.6244,0.0,0.6244,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659308,877,0.6388,0.0,0.6388,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659309,878,0.6418,0.0,0.6418,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659309,879,0.5642,0.0,0.5642,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659310,880,0.6532,0.0,0.6532,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659310,881,0.6501,0.0,0.6501,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659310,882,0.6447,0.0,0.6447,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659311,883,0.6561,0.0,0.6561,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659311,884,0.6207,0.0,0.6207,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659311,885,0.5629,0.0,0.5629,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659312,886,0.6903,0.0,0.6903,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659312,887,0.5396,0.0,0.5396,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659312,888,0.7426,0.0,0.7426,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659313,889,0.677,0.0,0.677,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659313,890,0.6993,0.0,0.6993,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659313,891,0.5921,0.0,0.5921,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659314,892,0.6131,0.0,0.6131,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659314,893,0.659,0.0,0.659,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659315,894,0.6272,0.0,0.6272,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659315,895,0.5146,0.0,0.5146,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659315,896,0.593,0.0,0.593,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659316,897,0.6553,0.0,0.6553,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659316,898,0.644,0.0,0.644,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659316,899,0.6415,0.0,0.6415,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659317,900,0.6099,0.0,0.6099,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659317,901,0.5426,0.0,0.5426,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659317,902,0.6015,0.0,0.6015,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659318,903,0.5394,0.0,0.5394,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659318,904,0.6229,0.0,0.6229,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659318,905,0.6089,0.0,0.6089,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659319,906,0.596,0.0,0.596,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659319,907,0.5679,0.0,0.5679,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659320,908,0.6691,0.0,0.6691,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659320,909,0.6171,0.0,0.6171,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659320,910,0.743,0.0,0.743,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659321,911,0.5353,0.0,0.5353,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659321,912,0.5839,0.0,0.5839,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659321,913,0.5146,0.0,0.5146,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659322,914,0.6557,0.0,0.6557,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659322,915,0.5897,0.0,0.5897,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659322,916,0.6179,0.0,0.6179,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659323,917,0.6146,0.0,0.6146,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659323,918,0.59,0.0,0.59,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659323,919,0.5639,0.0,0.5639,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659324,920,0.6512,0.0,0.6512,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659324,921,0.6236,0.0,0.6236,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659325,922,0.6448,0.0,0.6448,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659325,923,0.6145,0.0,0.6145,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659325,924,0.6853,0.0,0.6853,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659326,925,0.6198,0.0,0.6198,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659326,926,0.5772,0.0,0.5772,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659326,927,0.7375,0.0,0.7375,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659327,928,0.5803,0.0,0.5803,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659327,929,0.579,0.0,0.579,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659328,930,0.5902,0.0,0.5902,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659328,931,0.4339,0.0,0.4339,0.87,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659328,932,0.6585,0.0,0.6585,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659329,933,0.7076,0.0,0.7076,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659329,934,0.756,0.0,0.756,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659329,935,0.5775,0.0,0.5775,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659330,936,0.5396,0.0,0.5396,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659330,937,0.6131,0.0,0.6131,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659330,938,0.6684,0.0,0.6684,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659331,939,0.7149,0.0,0.7149,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659331,940,0.6328,0.0,0.6328,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659331,941,0.6265,0.0,0.6265,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659332,942,0.605,0.0,0.605,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659332,943,0.5923,0.0,0.5923,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659333,944,0.6452,0.0,0.6452,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659333,945,0.4985,0.0,0.4985,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659333,946,0.7011,0.0,0.7011,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659334,947,0.6161,0.0,0.6161,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659334,948,0.5774,0.0,0.5774,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659334,949,0.6499,0.0,0.6499,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659335,950,0.6213,0.0,0.6213,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659335,951,0.5948,0.0,0.5948,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659335,952,0.6069,0.0,0.6069,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659336,953,0.6145,0.0,0.6145,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659336,954,0.6596,0.0,0.6596,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659337,955,0.7221,0.0,0.7221,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659337,956,0.6225,0.0,0.6225,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659337,957,0.7213,0.0,0.7213,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659338,958,0.6852,0.0,0.6852,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659338,959,0.6381,0.0,0.6381,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659338,960,0.6268,0.0,0.6268,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659339,961,0.6521,0.0,0.6521,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659339,962,0.7434,0.0,0.7434,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659339,963,0.6495,0.0,0.6495,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659340,964,0.5808,0.0,0.5808,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659340,965,0.6039,0.0,0.6039,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659341,966,0.6828,0.0,0.6828,0.5,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659341,967,0.6886,0.0,0.6886,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659341,968,0.6176,0.0,0.6176,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659342,969,0.6672,0.0,0.6672,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659342,970,0.5907,0.0,0.5907,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659342,971,0.5515,0.0,0.5515,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659343,972,0.5751,0.0,0.5751,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659343,973,0.5322,0.0,0.5322,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659343,974,0.6849,0.0,0.6849,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659344,975,0.6046,0.0,0.6046,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659344,976,0.6959,0.0,0.6959,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659345,977,0.5452,0.0,0.5452,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659345,978,0.6977,0.0,0.6977,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659345,979,0.7005,0.0,0.7005,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659346,980,0.5748,0.0,0.5748,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659346,981,0.5638,0.0,0.5638,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659346,982,0.6942,0.0,0.6942,0.47,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659347,983,0.642,0.0,0.642,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659347,984,0.6007,0.0,0.6007,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659347,985,0.5306,0.0,0.5306,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659348,986,0.6455,0.0,0.6455,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659348,987,0.4941,0.0,0.4941,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659348,988,0.6768,0.0,0.6768,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659349,989,0.7074,0.0,0.7074,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659349,990,0.6571,0.0,0.6571,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659349,991,0.6629,0.0,0.6629,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659350,992,0.6144,0.0,0.6144,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659350,993,0.589,0.0,0.589,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659351,994,0.6242,0.0,0.6242,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659351,995,0.663,0.0,0.663,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659351,996,0.603,0.0,0.603,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659352,997,0.7275,0.0,0.7275,0.47,0.0,1.0
compas-alpha_1-beta_0.0-gamma_1,1571659352,998,0.4913,0.0,0.4913,0.77,0.0,1.0
